0,1,2,3,4,5
Are they moving to to be with someone else or,0,12,use,verb,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose<FF>take or consume (regularly or habitually)<FF>use up, consume fully<FF>seek or achieve an end by using to one's advantage<FF>avail oneself to<FF>habitually do something (use only in the past tense)<FF>"
Let's go to the flicks .,0,16,develop,verb,"make something new, such as a product or a mental or artistic creation<FF>work out<FF>gain through experience<FF>come to have or undergo a change of (physical features and attributes)<FF>come into existence; take on form or shape<FF>change the use of and make available or usable<FF>elaborate, as of theories and hypotheses<FF>create by training and teaching<FF>be gradually disclosed or unfolded; become manifest<FF>grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment<FF>become technologically advanced<FF>cause to grow and differentiate in ways conforming to its natural development<FF>generate gradually<FF>grow emotionally or mature<FF>make visible by means of chemical solutions<FF>superimpose a three-dimensional surface on a plane without stretching, in geometry<FF>move one's pieces into strategically more advantageous positions<FF>move into a strategically more advantageous position<FF>elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme<FF>happen<FF>expand in the form of a series<FF>"
"As a result of some 40 sub-projects involving all the Member States ( and often several groups within each one ) , databases of topography , soils , water resources and quality , biotopes , atmospheric emissions , climate , soil erosion and administrative boundaries have been built up for the whole Community and can be interrelated ; other data sets ( such as land cover , derived from satellite imagery ) have already been compiled for some of the Member States .",0,26,deprive,verb,"take away possessions from someone<FF>keep from having, keeping, or obtaining<FF>take away<FF>"
You were n't going to tell me .,0,10,give,verb,"cause to have, in the abstract sense or physical sense<FF>be the cause or source of<FF>transfer possession of something concrete or abstract to somebody<FF>convey or reveal information<FF>convey, as of a compliment, regards, attention, etc.; bestow<FF>organize or be responsible for<FF>convey or communicate; of a smile, a look, a physical gesture<FF>give as a present; make a gift of<FF>cause to happen or be responsible for<FF>dedicate<FF>give or supply<FF>transmit (knowledge or skills)<FF>bring about<FF>leave with; give temporarily<FF>emit or utter<FF>endure the loss of<FF>place into the hands or custody of<FF>give entirely to a specific person, activity, or cause<FF>give (as medicine)<FF>give or convey physically<FF>bestow<FF>bestow, especially officially<FF>move in order to make room for someone for something<FF>give food to<FF>contribute to some cause<FF>break down, literally or metaphorically<FF>estimate the duration or outcome of something<FF>execute and deliver<FF>deliver in exchange or recompense<FF>afford access to<FF>present to view<FF>perform for an audience<FF>be flexible under stress of physical force<FF>propose<FF>accord by verdict<FF>manifest or show<FF>offer in good faith<FF>submit for consideration, judgment, or use<FF>guide or direct, as by behavior of persuasion<FF>allow to have or take<FF>inflict as a punishment<FF>occur<FF>consent to engage in sexual intercourse with a man<FF>proffer (a body part)<FF>"
"The way to look at Bye Bye Baby , they insist , is as a light , surreal comedy .",1,16,open,verb,"cause to open or to become open<FF>start to operate or function or cause to start operating or functioning<FF>become open<FF>begin or set in action, of meetings, speeches, recitals, etc.<FF>spread out or open from a closed or folded state<FF>make available<FF>become available<FF>have an opening or passage or outlet<FF>make the opening move<FF>afford access to<FF>display the contents of a file or start an application as on a computer<FF>"
And you ca n't develop a prototype system because the users have n't got a clue what they want .,0,7,bring,verb,"take something or somebody with oneself somewhere<FF>cause to come into a particular state or condition<FF>cause to happen or to occur as a consequence<FF>go or come after and bring or take back<FF>bring into a different state<FF>be accompanied by<FF>advance or set forth in court; ,<FF>bestow a quality on<FF>be sold for a certain price<FF>attract the attention of<FF>induce or persuade<FF>"
You think you 're omnipotent but you are n't .,1,14,compete,verb,compete for something; engage in a contest; measure oneself against others<FF>
Its continued presence always surprised him since it served no purpose that he could see except symbolically to cut off the headland and to give travellers pause to consider whether they really wanted to continue .,0,0,disturb,verb,move deeply<FF>change the arrangement or position of<FF>tamper with<FF>destroy the peace or tranquility of<FF>damage as if by shaking or jarring<FF>
you know,1,5,send,verb,"cause to go somewhere<FF>to cause or order to be taken, directed, or transmitted to another place<FF>cause to be directed or transmitted to another place<FF>transport commercially<FF>assign to a station<FF>transfer<FF>cause to be admitted; of persons to an institution<FF>broadcast over the airwaves, as in radio or television<FF>"
"Although summarized as an alcohol education course , the sessions are not just concerned with giving information but also with enabling participants to make practical use of it .",0,2,move,verb,"change location; move, travel, or proceed, also metaphorically<FF>cause to move or shift into a new position or place, both in a concrete and in an abstract sense<FF>move so as to change position, perform a nontranslational motion<FF>change residence, affiliation, or place of employment<FF>follow a procedure or take a course<FF>be in a state of action<FF>go or proceed from one point to another<FF>perform an action, or work out or perform (an action)<FF>have an emotional or cognitive impact upon<FF>give an incentive for action<FF>arouse sympathy or compassion in<FF>dispose of by selling<FF>progress by being changed<FF>live one's life in a specified environment<FF>have a turn; make one's move in a game<FF>propose formally; in a debate or parliamentary meeting<FF>"
"No I was er talking to , is it Alan ?",0,0,let,verb,"make it possible through a specific action or lack of action for something to happen<FF>actively cause something to happen<FF>consent to, give permission<FF>cause to move; cause to be in a certain position or condition<FF>leave unchanged<FF>grant use or occupation of under a term of contract<FF>"
Were you gon na go with her ?,0,56,interrelated,verb,be in a relationship with<FF>place into a mutual relationship<FF>
Aunt Margaret is coming at ten .,0,5,tell,verb,express in words<FF>let something be known<FF>narrate or give a detailed account of<FF>give instructions to or direct somebody to do something with authority<FF>discern or comprehend<FF>inform positively and with certainty and confidence<FF>give evidence<FF>mark as different<FF>
I like this one too .,0,10,insist,verb,be emphatic or resolute and refuse to budge<FF>beg persistently and urgently<FF>assert to be true<FF>
"Using what would now be called GIS skills , Openshaw ( 1980 ) examined over 13 000 1 km grid squares in the UK which intersect the coastline and related these to data from the 1971 Census ( which were made available for such grid squares ) .",0,18,want,verb,"feel or have a desire for; want strongly<FF>have need of<FF>hunt or look for; want for a particular reason<FF>wish or demand the presence of<FF>be without, lack; be deficient in<FF>"
"There has been a suspicion for many years that high rates of stomach cancer in parts of Wales may be linked to soil chemistry , specifically such factors as zinc/copper ratios , and to lead content in water supplies .",0,1,think,verb,"judge or regard; look upon; judge<FF>expect, believe, or suppose<FF>use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments<FF>recall knowledge from memory; have a recollection<FF>imagine or visualize<FF>focus one's attention on a certain state<FF>have in mind as a purpose<FF>decide by pondering, reasoning, or reflecting<FF>ponder; reflect on, or reason about<FF>dispose the mind in a certain way<FF>have or formulate in the mind<FF>be capable of conscious thought<FF>bring into a given condition by mental preoccupation<FF>"
"See I 've never , I 've never across anyone that like know you .",0,34,continue,verb,"continue a certain state, condition, or activity<FF>continue talking;  he continued,<FF>keep or maintain in unaltered condition; cause to remain or last<FF>move ahead; travel onward in time or space<FF>allow to remain in a place or position or maintain a property or feature<FF>do something repeatedly and showing no intention to stop<FF>continue after an interruption<FF>continue in a place, position, or situation<FF>span an interval of distance, space or time<FF>exist over a prolonged period of time<FF>"
"He said the police were talking to everyone Angie had seen in the two weeks before she well vanished , and so far had come up with nothing .",0,1,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
"We shall discuss the rest first ( Sections 3.2Î__ê3.5 ) , and that will give us some idea of the relative significance of electric and magnetic fields .",0,20,enable,verb,render capable or able for some task<FF>
As mentioned earlier there are always the twin problems of how to get the information and how to present it .,0,4,talk,verb,exchange thoughts; talk with<FF>express in speech<FF>use language<FF>reveal information<FF>divulge confidential information or secrets<FF>deliver a lecture or talk<FF>
And he tells how none of the assembled guards and officials could look his father in the eye as he protested his innocence .,0,4,go,verb,"change location; move, travel, or proceed, also metaphorically<FF>follow a procedure or take a course<FF>move away from a place into another direction<FF>enter or assume a certain state or condition<FF>be awarded; be allotted<FF>have a particular form<FF>stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point<FF>follow a certain course<FF>be abolished or discarded<FF>be or continue to be in a certain condition<FF>make a certain noise or sound<FF>perform as expected when applied<FF>to be spent or finished<FF>progress by being changed<FF>continue to live through hardship or adversity<FF>pass, fare, or elapse; of a certain state of affairs or action<FF>pass from physical life and lose all bodily attributes and functions necessary to sustain life<FF>be in the right place or situation<FF>be ranked or compare<FF>begin or set in motion<FF>have a turn; make one's move in a game<FF>be contained in<FF>be sounded, played, or expressed<FF>blend or harmonize<FF>lead, extend, or afford access<FF>be the right size or shape; fit correctly or as desired<FF>go through in search of something; search through someone's belongings in an unauthorized way<FF>be spent<FF>give support (to) or make a choice (of) one out of a group or number<FF>stop operating or functioning<FF>"
Preferably three but two get by with .,0,3,come,verb,"move toward, travel toward something or somebody or approach something or somebody<FF>reach a destination; arrive by movement or progress<FF>come to pass; arrive, as in due course<FF>reach or enter a state, relation, condition, use, or position<FF>to be the product or result<FF>be found or available<FF>come forth<FF>be a native of<FF>extend or reach<FF>exist or occur in a certain point in a series<FF>cover a certain distance<FF>come under, be classified or included<FF>happen as a result<FF>add up in number or quantity<FF>develop into<FF>be received<FF>come to one's mind; suggest itself<FF>come from; be connected by a relationship of blood, for example<FF>proceed or get along<FF>experience orgasm<FF>have a certain priority<FF>"
"Many of the new arrivals , who waited in the street outside the embassy , said they were convinced there would be another train for them .",0,1,like,verb,"prefer or wish to do something<FF>find enjoyable or agreeable<FF>be fond of<FF>feel about or towards; consider, evaluate, or regard<FF>want to have<FF>"
"This is not an office block , nor a church although its sublime form might suggest that its architect was adept at designing cathedrals .",0,40,make,verb,"engage in<FF>give certain properties to something<FF>make or cause to be or to become<FF>cause to do; cause to act in a specified manner<FF>give rise to; cause to happen or occur, not always intentionally<FF>create or manufacture a man-made product<FF>make, formulate, or derive in the mind<FF>compel or make somebody or something to act in a certain way<FF>create by artistic means<FF>earn on some commercial or business transaction; earn as salary or wages<FF>create or design, often in a certain way<FF>to compose or represent:<FF>reach a goal, e.g.,<FF>be or be capable of being changed or made into<FF>make by shaping or bringing together constituents<FF>perform or carry out<FF>make by combining materials and parts<FF>change from one form into another<FF>act in a certain way so as to acquire<FF>charge with a function; charge to be<FF>achieve a point or goal<FF>reach a destination, either real or abstract<FF>institute, enact, or establish<FF>carry out or commit<FF>form by assembling individuals or constituents<FF>organize or be responsible for<FF>put in order or neaten<FF>head into a specified direction<FF>have a bowel movement<FF>undergo fabrication or creation<FF>be suitable for<FF>add up to<FF>amount to<FF>constitute the essence of<FF>appear to begin an activity<FF>proceed along a path<FF>reach in time<FF>gather and light the materials for<FF>prepare for eating by applying heat<FF>induce to have sex<FF>assure the success of<FF>represent fictitiously, as in a play, or pretend to be or act like<FF>consider as being<FF>calculate as being<FF>cause to be enjoyable or pleasurable<FF>favor the development of<FF>develop into<FF>behave in a certain way<FF>eliminate urine<FF>"
A considerable amount of research has been undertaken to apply GIS methods to evacuation scenarios around hazardous sites .,0,20,link,verb,"make a logical or causal connection<FF>connect, fasten, or put together two or more pieces<FF>be or become joined or united or linked<FF>link with or as with a yoke<FF>"
"One daughter , a grand duchess of Russia , even gained a footnote in history by introducing an unknown monk , Rasputin , to the Russian Tsarina Alexandra .",0,12,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
"They somehow managed to persuade the owners , apparently it was and it was and nobody else had ever been allowed in this place not even erm historians who write about famous buildings , even they had been refused access !",0,5,talk,verb,exchange thoughts; talk with<FF>express in speech<FF>use language<FF>reveal information<FF>divulge confidential information or secrets<FF>deliver a lecture or talk<FF>
"Thus stated , there is no reference to the defendant 's intention or awareness of the risks : the fact that D has chosen to commit rape , robbery , or another serious offence , and has caused death thereby , is held to constitute sufficient moral grounds for placing the killing in the highest category .",1,14,give,verb,"cause to have, in the abstract sense or physical sense<FF>be the cause or source of<FF>transfer possession of something concrete or abstract to somebody<FF>convey or reveal information<FF>convey, as of a compliment, regards, attention, etc.; bestow<FF>organize or be responsible for<FF>convey or communicate; of a smile, a look, a physical gesture<FF>give as a present; make a gift of<FF>cause to happen or be responsible for<FF>dedicate<FF>give or supply<FF>transmit (knowledge or skills)<FF>bring about<FF>leave with; give temporarily<FF>emit or utter<FF>endure the loss of<FF>place into the hands or custody of<FF>give entirely to a specific person, activity, or cause<FF>give (as medicine)<FF>give or convey physically<FF>bestow<FF>bestow, especially officially<FF>move in order to make room for someone for something<FF>give food to<FF>contribute to some cause<FF>break down, literally or metaphorically<FF>estimate the duration or outcome of something<FF>execute and deliver<FF>deliver in exchange or recompense<FF>afford access to<FF>present to view<FF>perform for an audience<FF>be flexible under stress of physical force<FF>propose<FF>accord by verdict<FF>manifest or show<FF>offer in good faith<FF>submit for consideration, judgment, or use<FF>guide or direct, as by behavior of persuasion<FF>allow to have or take<FF>inflict as a punishment<FF>occur<FF>consent to engage in sexual intercourse with a man<FF>proffer (a body part)<FF>"
The bathroom 's a bit chilly but once you 've put that heater on and shut the door for a few minutes it 's,1,18,present,verb,"give an exhibition of to an interested audience<FF>bring forward and present to the mind<FF>perform (a play), especially on a stage<FF>hand over formally<FF>introduce<FF>give, especially as an honor or reward<FF>give as a present; make a gift of<FF>deliver (a speech, oration, or idea)<FF>cause to come to know personally<FF>represent abstractly, for example in a painting, drawing, or sculpture<FF>present somebody with something, usually to accuse or criticize<FF>formally present a debutante, a representative of a country, etc.<FF>recognize with a gesture prescribed by a military regulation; assume a prescribed position<FF>"
You had heroes scotch-taped to their horses and lightly sprinkled with dust .,0,2,tell,verb,express in words<FF>let something be known<FF>narrate or give a detailed account of<FF>give instructions to or direct somebody to do something with authority<FF>discern or comprehend<FF>inform positively and with certainty and confidence<FF>give evidence<FF>mark as different<FF>
"And he said , yeah take what .",0,4,get,verb,"come into the possession of something concrete or abstract<FF>enter or assume a certain state or condition<FF>cause to move; cause to be in a certain position or condition<FF>receive a specified treatment (abstract)<FF>reach a destination; arrive by movement or progress<FF>go or come after and bring or take back<FF>go through (mental or physical states or experiences)<FF>take vengeance on or get even<FF>achieve a point or goal<FF>cause to do; cause to act in a specified manner<FF>succeed in catching or seizing, especially after a chase<FF>come to have or undergo a change of (physical features and attributes)<FF>be stricken by an illness, fall victim to an illness<FF>communicate with a place or person; establish communication with, as if by telephone<FF>give certain properties to something<FF>move into a desired direction of discourse<FF>grasp with the mind or develop an understanding of<FF>attract and fix<FF>reach with a blow or hit in a particular spot<FF>reach by calculation<FF>acquire as a result of some effort or action<FF>purchase<FF>perceive by hearing<FF>suffer from the receipt of<FF>receive as a retribution or punishment<FF>leave immediately; used usually in the imperative form<FF>reach and board<FF>irritate<FF>evoke an emotional response<FF>apprehend and reproduce accurately<FF>earn or achieve a base by being walked by the pitcher<FF>overcome or destroy<FF>be a mystery or bewildering to<FF>take the first step or steps in carrying out an action<FF>undergo (as of injuries and illnesses)<FF>make children<FF>"
"The right-hand half of the room was a well-equipped kitchen with a large gas stove and an Aga , a butcher 's chopping block , a dresser to the right of the door holding an assortment of gleaming pots , and a long working surface with a wooden triangle sheathing her assortment of knives .",0,7,wait,verb,stay in one place and anticipate or expect something<FF>wait before acting<FF>look forward to the probable occurrence of<FF>serve as a waiter or waitress in a restaurant<FF>
"Geoffrey Martel had perceived the propaganda potential of public war as early as the mid eleventh century ; later it enabled Henry the Liberal of Champagne to claim the military service of all lords within his county , a reapplication of the Carolingian ban .",0,22,design,verb,"make or work out a plan for; devise<FF>plan something for a specific role or purpose or effect<FF>create the design for; create or execute in an artistic or highly skilled manner<FF>make a design of; plan out in systematic, often graphic form<FF>create designs<FF>conceive or fashion in the mind; invent<FF>intend or have as a purpose<FF>"
But we can talk about that later .,0,9,apply,verb,put into service; make work or employ for a particular purpose or for its inherent or natural purpose<FF>be pertinent or relevant or applicable<FF>ask (for something)<FF>apply to a surface<FF>be applicable to; as to an analysis<FF>give or convey physically<FF>avail oneself to<FF>ensure observance of laws and rules<FF>refer (a word or name) to a person or thing<FF>apply oneself to<FF>
I 'm going to blow,0,16,introduce,verb,"cause to come to know personally<FF>bring something new to an environment<FF>introduce<FF>bring in a new person or object into a familiar environment<FF>bring in or establish in a new place or environment<FF>put or introduce into something<FF>bring before the public for the first time, as of an actor, song, etc.<FF>put before (a body)<FF>furnish with a preface or introduction<FF>be a precursor of<FF>"
"PLAYING THIS WEEK TONIGHT Bop Brothers Blues Band The plethora of litigation surrounding Blues Brothers lookalikes almost matches that attached to the release of Wired , the unofficial biography of the original brother , John Belushi .",0,4,persuade,verb,"win approval or support for<FF>cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm<FF>"
"There are great difficulties in assessing health effects , however , since exposure varies greatly from house to house within small neighbourhoods .",0,1,state,verb,"express in words<FF>put before<FF>indicate through a symbol, formula, etc.<FF>"
Their books are full of female breadwinners and New Men changing nappies and comforting bawling babies in the small hours .,0,15,shut,verb,move so that an opening or passage is obstructed; make shut<FF>become closed<FF>prevent from entering; shut out<FF>
Go on I 'll go and get her .,0,9,sprinkle,verb,"distribute loosely<FF>cause (a liquid) to spatter about, especially with force<FF>rain gently<FF>scatter with liquid; wet lightly<FF>"
I know .,0,2,say,verb,"express in words<FF>report or maintain<FF>express a supposition<FF>have or contain a certain wording or form<FF>give instructions to or direct somebody to do something with authority<FF>speak, pronounce, or utter in a certain way<FF>communicate or express nonverbally<FF>utter aloud<FF>state as one's opinion or judgement; declare<FF>recite or repeat a fixed text<FF>indicate<FF>"
There are many things to think about before even the first tentative daffodil bulb is sunk into the ground .,0,43,work,verb,"exert oneself by doing mental or physical work for a purpose or out of necessity<FF>be employed<FF>have an effect or outcome; often the one desired or expected<FF>perform as expected when applied<FF>shape, form, or improve a material<FF>give a workout to<FF>proceed along a path<FF>operate in a certain place, area, or specialty<FF>proceed towards a goal or along a path or through an activity<FF>move in an agitated manner<FF>cause to happen or to occur as a consequence<FF>cause to work<FF>prepare for crops<FF>behave in a certain way when handled<FF>have and exert influence or effect<FF>operate in or through<FF>cause to operate or function<FF>provoke or excite<FF>gratify and charm, usually in order to influence<FF>make something, usually for a specific function<FF>move into or onto<FF>make uniform<FF>use or manipulate to one's advantage<FF>find the solution to (a problem or question) or understand the meaning of<FF>cause to undergo fermentation<FF>go sour or spoil<FF>arrive at a certain condition through repeated motion<FF>"
She patted his wrist .,0,20,enable,verb,render capable or able for some task<FF>
"The course employs a variety of materials and techniques including the use of checklists , magazine and newspaper clippings , quizzes , videos , brainstorm exercises , discussions , drink diaries , and role plays ( Menary , 1986 ) .",0,3,talk,verb,exchange thoughts; talk with<FF>express in speech<FF>use language<FF>reveal information<FF>divulge confidential information or secrets<FF>deliver a lecture or talk<FF>
Throughout these manoeuvrings Alice Mair sat quietly watching from the car but made no move to help .,0,2,go,verb,"change location; move, travel, or proceed, also metaphorically<FF>follow a procedure or take a course<FF>move away from a place into another direction<FF>enter or assume a certain state or condition<FF>be awarded; be allotted<FF>have a particular form<FF>stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point<FF>follow a certain course<FF>be abolished or discarded<FF>be or continue to be in a certain condition<FF>make a certain noise or sound<FF>perform as expected when applied<FF>to be spent or finished<FF>progress by being changed<FF>continue to live through hardship or adversity<FF>pass, fare, or elapse; of a certain state of affairs or action<FF>pass from physical life and lose all bodily attributes and functions necessary to sustain life<FF>be in the right place or situation<FF>be ranked or compare<FF>begin or set in motion<FF>have a turn; make one's move in a game<FF>be contained in<FF>be sounded, played, or expressed<FF>blend or harmonize<FF>lead, extend, or afford access<FF>be the right size or shape; fit correctly or as desired<FF>go through in search of something; search through someone's belongings in an unauthorized way<FF>be spent<FF>give support (to) or make a choice (of) one out of a group or number<FF>stop operating or functioning<FF>"
"In 1914 a register of car owners was compiled , also important when some voters could cast several votes in an election when polling went several days .",0,17,match,verb,"be compatible, similar or consistent; coincide in their characteristics<FF>provide funds complementary to<FF>bring two objects, ideas, or people together<FF>be equal to in quality or ability<FF>make correspond or harmonize<FF>satisfy or fulfill<FF>give or join in marriage<FF>set into opposition or rivalry<FF>be equal or harmonize<FF>make equal, uniform, corresponding, or matching<FF>"
"Yet the logic of the definition suggested that it would benefit especially kings , whose competence to declare war could not be impugned : thus Thibaud of Blois failed to persuade the monks of Marmoutier that they owed him service when he fought against Louis VI ; they claimed discretion in the matter ; and in 1184 , the mighty Philip of Alsace hesitated to commit to battle the army he had summoned against Philip Augustus , through fear that its ranks might melt away .",0,16,house,verb,contain or cover<FF>provide housing for<FF>
a few times a week and I think it sounded like three cos she was wondering how he would cope with driving and everything .,0,14,bawl,verb,shout loudly and without restraint<FF>make a raucous noise<FF>cry loudly<FF>
"Well you 've got an , you 're got ta go , have an appointment to go and see somebody there are n't you ?",0,6,get,verb,"come into the possession of something concrete or abstract<FF>enter or assume a certain state or condition<FF>cause to move; cause to be in a certain position or condition<FF>receive a specified treatment (abstract)<FF>reach a destination; arrive by movement or progress<FF>go or come after and bring or take back<FF>go through (mental or physical states or experiences)<FF>take vengeance on or get even<FF>achieve a point or goal<FF>cause to do; cause to act in a specified manner<FF>succeed in catching or seizing, especially after a chase<FF>come to have or undergo a change of (physical features and attributes)<FF>be stricken by an illness, fall victim to an illness<FF>communicate with a place or person; establish communication with, as if by telephone<FF>give certain properties to something<FF>move into a desired direction of discourse<FF>grasp with the mind or develop an understanding of<FF>attract and fix<FF>reach with a blow or hit in a particular spot<FF>reach by calculation<FF>acquire as a result of some effort or action<FF>purchase<FF>perceive by hearing<FF>suffer from the receipt of<FF>receive as a retribution or punishment<FF>leave immediately; used usually in the imperative form<FF>reach and board<FF>irritate<FF>evoke an emotional response<FF>apprehend and reproduce accurately<FF>earn or achieve a base by being walked by the pitcher<FF>overcome or destroy<FF>be a mystery or bewildering to<FF>take the first step or steps in carrying out an action<FF>undergo (as of injuries and illnesses)<FF>make children<FF>"
If I 'm going to the South of France I want to stay there for awhile,0,1,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
"He also quoted MallarmÎ© "" I think that there should be only allusion",1,15,sink,verb,"fall or descend to a lower place or level<FF>cause to sink<FF>pass into a specified state or condition<FF>go under,<FF>descend into or as if into some soft substance or place<FF>appear to move downward<FF>fall heavily or suddenly; decline markedly<FF>fall or sink heavily<FF>embed deeply<FF>"
"Top of the Pops stuff does n't , in the sense that people who like to go and see live music do n't people who like that kind of music prefer the prefer it in a",0,1,pat,verb,"pat or squeeze fondly or playfully, especially under the chin<FF>hit lightly<FF>"
Yes I think it was .,1,2,employ,verb,put into service; make work or employ for a particular purpose or for its inherent or natural purpose<FF>engage or hire for work<FF>
Well how come,0,5,sit,verb,"be seated<FF>be around, often idly or without specific purpose<FF>take a seat<FF>be in session<FF>assume a posture as for artistic purposes<FF>sit and travel on the back of animal, usually while controlling its motions<FF>be located or situated somewhere<FF>work or act as a baby-sitter<FF>show to a seat; assign a seat for<FF>serve in a specific professional capacity<FF>"
"It was providing 27,500 training places ( often in conjunction with the Manpower Services Commission ) : some 2,500 buildings were being improved ; estate action aimed to tackle run down housing ; and a large number of new partnerships ( which some might see as subsidies , or discredited regional grants , in a new guise ) were in operation , in an effort to bring private investment to run-down urban areas .",0,8,compile,verb,get or gather together<FF>put together out of existing material<FF>use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed<FF>
If you ask a user what sort of system he wants you will be met with a blank look .,0,48,claim,verb,"assert or affirm strongly; state to be true or existing<FF>demand as being one's due or property; assert one's right or title to<FF>ask for legally or make a legal claim to, as of debts, for example<FF>lay claim to; as of an idea<FF>take as an undesirable consequence of some event or state of affairs<FF>"
"The effect of that test would be to pick out those reckless killings which occurred when D had already manifested substantial moral and legal culpability , and to classify them as murder .",0,19,cope,verb,come to terms with<FF>
They know it 's Doctor so,0,18,see,verb,"perceive by sight or have the power to perceive by sight<FF>perceive (an idea or situation) mentally<FF>perceive or be contemporaneous with<FF>imagine; conceive of; see in one's mind<FF>deem to be<FF>get to know or become aware of, usually accidentally<FF>see or watch<FF>come together<FF>find out, learn, or determine with certainty, usually by making an inquiry or other effort<FF>be careful or certain to do something; make certain of something<FF>go to see for professional or business reasons<FF>go to see for a social visit<FF>go to see a place, as for entertainment<FF>take charge of or deal with<FF>receive as a specified guest<FF>date regularly; have a steady relationship with<FF>see and understand, have a good eye<FF>deliberate or decide<FF>observe as if with an eye<FF>observe, check out, and look over carefully or inspect<FF>go or live through<FF>accompany or escort<FF>match or meet<FF>make sense of; assign a meaning to<FF>"
"In his sermon , Dr Runcie said : We should ever recognise the scandal that Anglicans and Roman Catholics must celebrate two eucharists to make one memorial of our redemption on the day of our Lord .",0,12,stay,verb,"stay the same; remain in a certain state<FF>stay put (in a certain place)<FF>dwell<FF>continue in a place, position, or situation<FF>remain behind<FF>stop or halt<FF>stay behind<FF>hang on during a trial of endurance<FF>stop a judicial process<FF>fasten with stays<FF>overcome or allay<FF>"
"Peter Yeo , who had known this particular juggernaut since he had his first small factory and two stores and dirt under his fingernails from shifting packing-cases personally , was not fazed by the question .",0,2,quote,verb,repeat a passage from<FF>name the price of<FF>refer to for illustration or proof<FF>put quote marks around<FF>
I seem to recall that Elinor helped you to buy your first good bike .,0,14,like,verb,"prefer or wish to do something<FF>find enjoyable or agreeable<FF>be fond of<FF>feel about or towards; consider, evaluate, or regard<FF>want to have<FF>"
It is envisaged that the totality of activities will extend the existing State of the European Environment report ( CEC 1988 ) through addressing the issues of the quality and sensitivity of the environment and also the pressures upon it .,0,2,think,verb,"judge or regard; look upon; judge<FF>expect, believe, or suppose<FF>use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments<FF>recall knowledge from memory; have a recollection<FF>imagine or visualize<FF>focus one's attention on a certain state<FF>have in mind as a purpose<FF>decide by pondering, reasoning, or reflecting<FF>ponder; reflect on, or reason about<FF>dispose the mind in a certain way<FF>have or formulate in the mind<FF>be capable of conscious thought<FF>bring into a given condition by mental preoccupation<FF>"
"But I mean , you ca n't get those that size where I live .",1,2,come,verb,"move toward, travel toward something or somebody or approach something or somebody<FF>reach a destination; arrive by movement or progress<FF>come to pass; arrive, as in due course<FF>reach or enter a state, relation, condition, use, or position<FF>to be the product or result<FF>be found or available<FF>come forth<FF>be a native of<FF>extend or reach<FF>exist or occur in a certain point in a series<FF>cover a certain distance<FF>come under, be classified or included<FF>happen as a result<FF>add up in number or quantity<FF>develop into<FF>be received<FF>come to one's mind; suggest itself<FF>come from; be connected by a relationship of blood, for example<FF>proceed or get along<FF>experience orgasm<FF>have a certain priority<FF>"
We were talking about Andrew coming home for the weekend and having the Bunkers round for drinks .,1,28,tackle,verb,"accept as a challenge<FF>put a harness<FF>seize and throw down an opponent player, who usually carries the ball<FF>"
"Such measures constituted the present Government 's heritage , when it took office in 1979 .",0,10,want,verb,"feel or have a desire for; want strongly<FF>have need of<FF>hunt or look for; want for a particular reason<FF>wish or demand the presence of<FF>be without, lack; be deficient in<FF>"
